Computer - GOG || Forgotten Realms - Eye of the Beholder II - The Legend of Darkmoon (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Eye of the Beholder II - The Legend of Darkmoon (USA)/Forgotten Realms - Eye of the Beholder II - The Legend of Darkmoon (USA).json
Computer - GOG || Forgotten Realms - Eye of the Beholder III - Assault on Myth Drannor (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Eye of the Beholder III - Assault on Myth Drannor (USA)/Forgotten Realms - Eye of the Beholder III - Assault on Myth Drannor (USA).json
Computer - GOG || Forgotten Realms - Hillsfar (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Hillsfar (USA)/Forgotten Realms - Hillsfar (USA).json
Computer - GOG || Forgotten Realms - Menzoberranzan (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Menzoberranzan (USA)/Forgotten Realms - Menzoberranzan (USA).json
Computer - GOG || Forgotten Realms - Pools of Radiance I - Pool of Radiance (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Pools of Radiance I - Pool of Radiance (USA)/Forgotten Realms - Pools of Radiance I - Pool of Radiance (USA).json
Computer - GOG || Forgotten Realms - Pools of Radiance II - Curse of the Azure Bonds (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Pools of Radiance II - Curse of the Azure Bonds (USA)/Forgotten Realms - Pools of Radiance II - Curse of the Azure Bonds (USA).json
Computer - GOG || Forgotten Realms - Pools of Radiance III - Secret of the Silver Blades (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Pools of Radiance III - Secret of the Silver Blades (USA)/Forgotten Realms - Pools of Radiance III - Secret of the Silver Blades (USA).json
Computer - GOG || Forgotten Realms - Pools of Radiance IV - Pools of Darkness (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Pools of Radiance IV - Pools of Darkness (USA)/Forgotten Realms - Pools of Radiance IV - Pools of Darkness (USA).json
Computer - GOG || Forgotten Realms - Savage Frontier I - Gateway to the Savage Frontier (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Savage Frontier I - Gateway to the Savage Frontier (USA)/Forgotten Realms - Savage Frontier I - Gateway to the Savage Frontier (USA).json
Computer - GOG || Forgotten Realms - Savage Frontier II - Treasures of the Savage Frontier (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Savage Frontier II - Treasures of the Savage Frontier (USA)/Forgotten Realms - Savage Frontier II - Treasures of the Savage Frontier (USA).json
Computer - GOG || Forgotten Realms - Unlimited Adventures (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Unlimited Adventures (USA)/Forgotten Realms - Unlimited Adventures (USA).json
