Sony PlayStation Portable || 3rd Birthday, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/3rd Birthday, The (USA)/3rd Birthday, The (USA).json
Sony PlayStation Portable || Shadow of Destiny (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Shadow of Destiny (USA)/Shadow of Destiny (USA).json
Sony PlayStation Portable || Shin Megami Tensei - Persona (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Shin Megami Tensei - Persona (USA)/Shin Megami Tensei - Persona (USA).json
Sony PlayStation Portable || Shin Megami Tensei - Persona 2 - Innocent Sin (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Shin Megami Tensei - Persona 2 - Innocent Sin (USA)/Shin Megami Tensei - Persona 2 - Innocent Sin (USA).json
Sony PlayStation Portable || Shin Megami Tensei - Persona 3 Portable (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Shin Megami Tensei - Persona 3 Portable (USA)/Shin Megami Tensei - Persona 3 Portable (USA).json
Sony PlayStation Portable || Sid Meier's Pirates! (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Sid Meier's Pirates! (USA) (En,Fr,De,Es,It)/Sid Meier's Pirates! (USA) (En,Fr,De,Es,It).json
Sony PlayStation Portable || Star Ocean - First Departure (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Star Ocean - First Departure (USA)/Star Ocean - First Departure (USA).json
Sony PlayStation Portable || Star Ocean - Second Evolution (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Star Ocean - Second Evolution (USA)/Star Ocean - Second Evolution (USA).json
Sony PlayStation Portable || Tactics Ogre - Let Us Cling Together (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Tactics Ogre - Let Us Cling Together (USA)/Tactics Ogre - Let Us Cling Together (USA).json
Sony PlayStation Portable || Tales of Destiny 2 (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Tales of Destiny 2 (Japan)/Tales of Destiny 2 (Japan).json
Sony PlayStation Portable || Tales of Eternia (Europe) (v2.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Tales of Eternia (Europe) (v2.02)/Tales of Eternia (Europe) (v2.02).json
Sony PlayStation Portable || Tales of Phantasia - Narikiri Dungeon X (Japan) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Tales of Phantasia - Narikiri Dungeon X (Japan) (v1.01)/Tales of Phantasia - Narikiri Dungeon X (Japan) (v1.01).json
Sony PlayStation Portable || Tales of Rebirth (Japan) (v1.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Tales of Rebirth (Japan) (v1.02)/Tales of Rebirth (Japan) (v1.02).json
Sony PlayStation Portable || Tales of VS. (Japan) (v1.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Tales of VS. (Japan) (v1.02)/Tales of VS. (Japan) (v1.02).json
Sony PlayStation Portable || Ultimate Ghosts 'n Goblins (Europe) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Ultimate Ghosts 'n Goblins (Europe) (En,Fr,De,Es,It)/Ultimate Ghosts 'n Goblins (Europe) (En,Fr,De,Es,It).json
Sony PlayStation Portable || Untold Legends - Brotherhood of the Blade (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Untold Legends - Brotherhood of the Blade (USA)/Untold Legends - Brotherhood of the Blade (USA).json
Sony PlayStation Portable || Valkyria Chronicles II (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Valkyria Chronicles II (USA)/Valkyria Chronicles II (USA).json
Sony PlayStation Portable || Valkyrie Profile - Lenneth (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Valkyrie Profile - Lenneth (USA)/Valkyrie Profile - Lenneth (USA).json
Sony PlayStation Portable || WTF - Work Time Fun (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/WTF - Work Time Fun (USA)/WTF - Work Time Fun (USA).json
Sony PlayStation Portable || What Did I Do to Deserve This, My Lord! 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/What Did I Do to Deserve This, My Lord! 2 (USA)/What Did I Do to Deserve This, My Lord! 2 (USA).json
Sony PlayStation Portable || Wild Arms XF (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Wild Arms XF (USA)/Wild Arms XF (USA).json
Sony PlayStation Portable || Ys - The Ark of Napishtim (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Ys - The Ark of Napishtim (USA)/Ys - The Ark of Napishtim (USA).json
Sony PlayStation Portable || Ys - The Oath in Felghana (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Ys - The Oath in Felghana (USA)/Ys - The Oath in Felghana (USA).json
Sony PlayStation Portable || Ys I & II Chronicles (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Ys I & II Chronicles (USA)/Ys I & II Chronicles (USA).json
Sony PlayStation Portable || Ys Seven (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Ys Seven (USA)/Ys Seven (USA).json
