Atari 2600 || Super Challenge Football (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Super Challenge Football (USA)/Super Challenge Football (USA).json
Atari 2600 || Super Football (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Super Football (USA)/Super Football (USA).json
Atari 2600 || Surround ~ Chase (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Surround ~ Chase (USA)/Surround ~ Chase (USA).json
Atari 2600 || SwordQuest - EarthWorld (USA) || $ROM_JSON_ROOT/Other/Atari 2600/SwordQuest - EarthWorld (USA)/SwordQuest - EarthWorld (USA).json
Atari 2600 || SwordQuest - EarthWorld (USA, Europe) (Atari Anthology) || $ROM_JSON_ROOT/Other/Atari 2600/SwordQuest - EarthWorld (USA, Europe) (Atari Anthology)/SwordQuest - EarthWorld (USA, Europe) (Atari Anthology).json
Atari 2600 || SwordQuest - FireWorld (USA) || $ROM_JSON_ROOT/Other/Atari 2600/SwordQuest - FireWorld (USA)/SwordQuest - FireWorld (USA).json
Atari 2600 || SwordQuest - WaterWorld (USA) || $ROM_JSON_ROOT/Other/Atari 2600/SwordQuest - WaterWorld (USA)/SwordQuest - WaterWorld (USA).json
Atari 2600 || Swordfight (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Swordfight (USA)/Swordfight (USA).json
Atari 2600 || Tank AI (USA) (Combat Edit) || $ROM_JSON_ROOT/Other/Atari 2600/Tank AI (USA) (Combat Edit)/Tank AI (USA) (Combat Edit).json
Atari 2600 || Tempest (USA) (Proto) || $ROM_JSON_ROOT/Other/Atari 2600/Tempest (USA) (Proto)/Tempest (USA) (Proto).json
Atari 2600 || Tennis (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Tennis (USA)/Tennis (USA).json
Atari 2600 || Thwocker (USA) (Proto) || $ROM_JSON_ROOT/Other/Atari 2600/Thwocker (USA) (Proto)/Thwocker (USA) (Proto).json
Atari 2600 || Title Match Pro Wrestling (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Title Match Pro Wrestling (USA)/Title Match Pro Wrestling (USA).json
Atari 2600 || Tomcat - The F-14 Fighter Simulator (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Tomcat - The F-14 Fighter Simulator (USA)/Tomcat - The F-14 Fighter Simulator (USA).json
Atari 2600 || Video Checkers ~ Checkers (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Video Checkers ~ Checkers (USA)/Video Checkers ~ Checkers (USA).json
Atari 2600 || Video Chess (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Video Chess (USA)/Video Chess (USA).json
Atari 2600 || Video Olympics ~ Pong Sports (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Video Olympics ~ Pong Sports (USA)/Video Olympics ~ Pong Sports (USA).json
Atari 2600 || Video Pinball ~ Arcade Pinball (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Video Pinball ~ Arcade Pinball (USA)/Video Pinball ~ Arcade Pinball (USA).json
Atari 2600 || Warlords (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Warlords (USA)/Warlords (USA).json
Atari 2600 || Wizard (USA) (Proto) || $ROM_JSON_ROOT/Other/Atari 2600/Wizard (USA) (Proto)/Wizard (USA) (Proto).json
Atari 2600 || Yars' Return (USA) (Proto) || $ROM_JSON_ROOT/Other/Atari 2600/Yars' Return (USA) (Proto)/Yars' Return (USA) (Proto).json
Atari 2600 || Yars' Revenge (USA) || $ROM_JSON_ROOT/Other/Atari 2600/Yars' Revenge (USA)/Yars' Revenge (USA).json
