Sega Genesis || Sonic 3D Blast ~ Sonic 3D Flickies' Island (USA, Europe, Korea) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic 3D Blast ~ Sonic 3D Flickies' Island (USA, Europe, Korea)/Sonic 3D Blast ~ Sonic 3D Flickies' Island (USA, Europe, Korea).json
Sega Genesis || Sonic Classic Heroes (World) (Unl) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic Classic Heroes (World) (Unl)/Sonic Classic Heroes (World) (Unl).json
Sega Genesis || Sonic Spinball (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic Spinball (USA)/Sonic Spinball (USA).json
Sega Genesis || Sonic The Hedgehog (Japan, Europe, Korea) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic The Hedgehog (Japan, Europe, Korea)/Sonic The Hedgehog (Japan, Europe, Korea).json
Sega Genesis || Sonic The Hedgehog (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic The Hedgehog (USA, Europe)/Sonic The Hedgehog (USA, Europe).json
Sega Genesis || Sonic The Hedgehog 1+2 (World) (Unl) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic The Hedgehog 1+2 (World) (Unl)/Sonic The Hedgehog 1+2 (World) (Unl).json
Sega Genesis || Sonic The Hedgehog 2 (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic The Hedgehog 2 (World)/Sonic The Hedgehog 2 (World).json
Sega Genesis || Sonic The Hedgehog 2 (World) (Rev A) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic The Hedgehog 2 (World) (Rev A)/Sonic The Hedgehog 2 (World) (Rev A).json
Sega Genesis || Sonic The Hedgehog 3 (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic The Hedgehog 3 (USA)/Sonic The Hedgehog 3 (USA).json
Sega Genesis || Space Harrier II (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Space Harrier II (World)/Space Harrier II (World).json
Sega Genesis || Spider-Man (World) (Sega) || $ROM_JSON_ROOT/Other/Sega Genesis/Spider-Man (World) (Sega)/Spider-Man (World) (Sega).json
Sega Genesis || Splatterhouse 2 (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Splatterhouse 2 (USA)/Splatterhouse 2 (USA).json
Sega Genesis || Splatterhouse 3 (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Splatterhouse 3 (USA)/Splatterhouse 3 (USA).json
Sega Genesis || Star Control (USA) (Unl) || $ROM_JSON_ROOT/Other/Sega Genesis/Star Control (USA) (Unl)/Star Control (USA) (Unl).json
